VF,giff,num_vehicles,alpha,beta,delta,alpha_d,Fairness Type (GIFF),SR,Metric (P),Metric (D),pair SR mean,pair SR min,source SR mean,source SR min,driver mean,driver min
pathnn,TRUE,1000,0,0.9,0,0,variance,0.807404533,-0.107384207,-18.562831,0.438151473,0,0.694951912,0.427113703,52.013,38
pathnn,TRUE,1000,0,0.95,0,0,variance,0.809282831,-0.110070738,-19.670044,0.438402725,0,0.699059285,0.395043732,52.134,39
pathnn,TRUE,1000,0,0.999,0,0,variance,0.812930767,-0.072689942,-19.752839,0.529758861,0.090909091,0.721435961,0.486880466,52.369,38
pathnn,TRUE,1000,0,0.99,0,0,variance,0.8114095,-0.101811484,-20.091559,0.460402429,0,0.711215355,0.482507289,52.271,41
pathnn,TRUE,1000,0,0.995,0,0,variance,0.812837628,-0.095648451,-21.413231,0.482965273,0,0.71542198,0.526239067,52.363,39
pathnn,TRUE,1000,0,0.9995,0,0,variance,0.814529649,-0.055192483,-19.961216,0.571706863,0.096354167,0.738537334,0.604956268,52.472,36
pathnn,TRUE,1000,0,1,0,0,variance,0.572384353,-0.010908112,-29.458871,0.582599927,0.285714286,0.568435328,0.536191145,36.873,22
pathnn,TRUE,1000,0.1,0,0,0,variance,0.806317914,-0.110627757,-18.393751,0.434040874,0,0.694808004,0.400874636,51.943,37
pathnn,TRUE,1000,0.1,0.1,0,0,variance,0.808786091,-0.107984683,-20.611596,0.440229186,0,0.695130908,0.370262391,52.102,38
pathnn,TRUE,1000,0.1,0.1,0,0,variance,0.808786091,-0.107984683,-20.611596,0.440229186,0,0.695130908,0.370262391,52.102,38
pathnn,TRUE,1000,0.1,0.2,0,0,variance,0.807668426,-0.108985799,-19.4511,0.431624955,0,0.690047004,0.383381924,52.03,37
pathnn,TRUE,1000,0.1,0.5,0,0,variance,0.810819621,-0.106434807,-19.810711,0.444140476,0,0.698235456,0.422740525,52.233,39
pathnn,TRUE,1000,0.1,0.95,0,0,variance,0.806830177,-0.048660844,-26.089424,0.54969216,0.181818182,0.723741895,0.521865889,51.976,34
pathnn,TRUE,1000,0.1,0.99,0,0,variance,0.765942254,-0.015749283,-35.869036,0.634227102,0.428571429,0.718378895,0.537596627,49.342,28
pathnn,TRUE,1000,0.1,0.995,0,0,variance,0.727320708,-0.015464543,-35.034684,0.626420391,0.407407407,0.686315633,0.527443806,46.854,29
pathnn,TRUE,1000,0.1,0.9,0,0,variance,0.810090034,-0.079782612,-20.243404,0.490932415,0,0.712757792,0.481049563,52.186,38
